Percent Change,Close,Date,Shift
0.001564945,12.8,30-12-2012,+
0.0078125,12.7,31-12-2012,-
0.002362205,12.73,03-01-2013,+
0.011783189,12.88,04-01-2013,+
0.006987578,12.79,05-01-2013,-
0.014855356,12.98,06-01-2013,+
0.006163328,12.9,07-01-2013,-
0.034883721,12.45,10-01-2013,-
0.028915663,12.09,11-01-2013,-
0.022332506,12.36,12-01-2013,+
0.015372168,12.55,13-01-2013,+
0.007968127,12.65,14-01-2013,+
0.007905138,12.55,18-01-2013,-
0.022310757,12.27,19-01-2013,-
0.021189894,12.01,20-01-2013,-
0.002497918,11.98,21-01-2013,-
0.019198664,11.75,24-01-2013,-
0.004255319,11.7,25-01-2013,-
0.029059829,12.04,26-01-2013,+
0.016611296,11.84,27-01-2013,-
0.003378378,11.8,28-01-2013,-
0.025423729,11.5,31-01-2013,-
0.011304348,11.63,01-02-2013,+
0.015477214,11.81,02-02-2013,+
0.013547841,11.97,03-02-2013,+
0.010025063,11.85,04-02-2013,-
0.003375527,11.81,07-02-2013,-
0,11.81,08-02-2013,-
0.012701101,11.66,09-02-2013,-
0.01457976,11.49,10-02-2013,-
0.013925152,11.65,11-02-2013,+
0.025751073,11.95,14-02-2013,+
0.00334728,11.91,15-02-2013,-
0.018471872,12.13,16-02-2013,+
0.047815334,12.71,17-02-2013,+
0.032258065,12.3,18-02-2013,-
0.008943089,12.19,22-02-2013,-
0.010664479,12.32,23-02-2013,+
0.011363636,12.18,24-02-2013,-
0.002463054,12.15,25-02-2013,-
0,12.15,28-02-2013,-
0.010699588,12.02,01-03-2013,-
0.001663894,12.04,02-03-2013,+
0.004983389,12.1,03-03-2013,+
0.016528926,11.9,04-03-2013,-
0.006722689,11.82,07-03-2013,-
0.015228426,12,08-03-2013,+
0.006666667,11.92,09-03-2013,-
0.026845638,11.6,10-03-2013,-
0.018103448,11.39,11-03-2013,-
0.050921861,10.81,14-03-2013,-
0.015726179,10.64,15-03-2013,-
0.018796992,10.44,16-03-2013,-
0.035440613,10.07,17-03-2013,-
0.000993049,10.08,18-03-2013,+
0.05952381,10.68,21-03-2013,+
0.059925094,11.32,22-03-2013,+
0.014134276,11.48,23-03-2013,+
0.015679443,11.3,24-03-2013,-
0.001769912,11.32,25-03-2013,+
0.056537102,10.68,28-03-2013,-
0.019662921,10.89,29-03-2013,+
0.01010101,11,30-03-2013,+
0.027272727,11.3,31-03-2013,+
0.007964602,11.39,01-04-2013,+
0.009657594,11.5,04-04-2013,+
