Percent Change,Close,Date,Shift
0.024283905,31.34,12-06-2015,-
0.039566114,32.580002,13-06-2015,+
0.000613751,32.599998,14-06-2015,+
0.013497025,33.040001,17-06-2015,+
0.004539891,33.189999,18-06-2015,+
0.014462188,32.709999,19-06-2015,-
0.001222898,32.75,20-06-2015,+
0.005496183,32.57,21-06-2015,-
0.022106233,31.85,24-06-2015,-
0.015698524,32.349998,25-06-2015,+
0.002473014,32.43,26-06-2015,+
0.013259359,32.860001,27-06-2015,+
0.002130249,32.790001,28-06-2015,-
0.009759073,33.110001,01-07-2015,+
0.001510118,33.060001,02-07-2015,-
0.010284331,32.720001,03-07-2015,-
0.0177261,33.299999,05-07-2015,+
0.004804805,33.139999,08-07-2015,-
0.003017592,33.240002,09-07-2015,+
0.000902467,33.27,10-07-2015,+
0.025548512,34.119999,11-07-2015,+
0.005275498,34.299999,12-07-2015,+
0.004664723,34.139999,15-07-2015,-
0.010544816,33.779999,16-07-2015,-
0.003256394,33.669998,17-07-2015,-
0.013959044,34.139999,18-07-2015,+
0.007322789,33.889999,19-07-2015,-
0.003835969,33.759998,22-07-2015,-
0.002369728,33.84,23-07-2015,+
0.030437323,32.810001,24-07-2015,-
0.012800944,33.23,25-07-2015,+
0.00932898,32.919998,26-07-2015,-
0.002733901,33.009998,29-07-2015,+
0.016661588,32.459999,30-07-2015,-
0.001848336,32.400002,31-07-2015,-
0.024691326,33.200001,01-08-2015,+
0.006626536,32.98,02-08-2015,-
0.01121889,32.610001,05-08-2015,-
0.002453296,32.529999,06-08-2015,-
0.008914756,32.240002,07-08-2015,-
0.002171185,32.310001,08-08-2015,+
0.012380099,31.91,09-08-2015,-
0.001566876,31.959999,12-08-2015,+
0.001564424,31.91,13-08-2015,-
0.001566876,31.959999,14-08-2015,+
0.025657072,31.139999,15-08-2015,-
0.011239499,30.790001,16-08-2015,-
0.000324781,30.780001,19-08-2015,-
0.014294931,31.219999,20-08-2015,+
0.010249904,31.540001,21-08-2015,+
0.034242294,30.459999,22-08-2015,-
0.012147111,30.83,23-08-2015,+
0.005838469,30.65,26-08-2015,-
0.023164731,29.940001,27-08-2015,-
0.003340047,29.84,28-08-2015,-
0.007372621,30.059999,29-08-2015,+
0.006653294,29.860001,30-08-2015,-
0.002679169,29.780001,03-09-2015,-
0.007387475,30,04-09-2015,+
0.009,30.27,05-09-2015,+
0.007928642,30.51,06-09-2015,+
0.005244182,30.67,09-09-2015,+
0.010107597,30.98,10-09-2015,+
0.000645578,31,11-09-2015,+
0.009354871,31.290001,12-09-2015,+
0.001278396,31.25,13-09-2015,-
0.00544,31.42,16-09-2015,+
0.003500987,31.530001,17-09-2015,+
0.007611766,31.77,18-09-2015,+
0.007869059,32.02,19-09-2015,+
0.001873891,32.080002,20-09-2015,+
0.000623473,32.060001,23-09-2015,-
0.003742951,32.18,24-09-2015,+
0.004039807,32.049999,25-09-2015,-
0.016224681,32.57,26-09-2015,+
0.011360117,32.200001,27-09-2015,-
0.002795031,32.110001,30-09-2015,-
0.008719962,32.389999,01-10-2015,+
0.000308676,32.380001,02-10-2015,-
0.002161828,32.310001,03-10-2015,-
0.018260631,32.900002,04-10-2015,+
0.018845075,32.279999,07-10-2015,-
0.015179616,31.790001,08-10-2015,-
0.007234948,32.02,09-10-2015,+
0.031230481,33.02,10-10-2015,+
0.004542641,33.169998,11-10-2015,+
0.010853211,33.529999,14-10-2015,+
0.005964718,33.330002,15-10-2015,-
0.010500989,33.68,16-10-2015,+
0.011876544,34.080002,17-10-2015,+
0.00205399,34.150002,18-10-2015,+
0.013470072,33.689999,21-10-2015,-
0.003264975,33.580002,22-10-2015,-
0.058070187,35.529999,23-10-2015,+
0.003377512,35.650002,24-10-2015,+
0.001402496,35.700001,25-10-2015,+
0.000560224,35.720001,28-10-2015,+
0.008118617,36.009998,29-10-2015,+
0.007775563,35.73,30-10-2015,-
0.008396306,35.43,31-10-2015,-
0.003669235,35.299999,01-11-2015,-
0.004532578,35.459999,04-11-2015,+
0.003948082,35.32,05-11-2015,-
0.005096263,35.5,06-11-2015,+
0.010704254,35.119999,07-11-2015,-
0.02306381,35.93,08-11-2015,+
0.000556638,35.91,11-11-2015,-
0.001670899,35.849998,12-11-2015,-
0.009205077,36.18,13-11-2015,+
0.028192399,37.200001,14-11-2015,+
0.003225779,37.080002,15-11-2015,-
0.014023624,37.599998,18-11-2015,+
0.016223432,38.209999,19-11-2015,+
0.007066239,38.48,20-11-2015,+
0.011434459,38.919998,21-11-2015,+
0.017728752,39.610001,22-11-2015,+
0.007826357,39.299999,25-11-2015,-
0.012977049,38.790001,26-11-2015,-
0.003867027,38.639999,27-11-2015,-
0.016821998,39.290001,29-11-2015,+
0.00279972,39.400002,02-12-2015,+
0.009390939,39.029999,03-12-2015,-
0.023571663,39.950001,04-12-2015,+
0.027284104,38.860001,05-12-2015,-
0.000514668,38.880001,06-12-2015,+
0.000771579,38.91,09-12-2015,+
0.000514032,38.889999,10-12-2015,-
0.004628439,38.709999,11-12-2015,-
0.002066701,38.790001,12-12-2015,+
0.006187213,38.549999,13-12-2015,-
0.004409909,38.720001,16-12-2015,+
0.015237603,39.310001,17-12-2015,+
0.007377181,39.599998,18-12-2015,+
0.003535328,39.459999,19-12-2015,-
0.01267106,39.959999,20-12-2015,+
