Percent Change,Close,Date,Shift
0.006922217,210.889999,27-03-2015,-
0.011427778,213.300003,28-03-2015,+
0.004313164,212.380005,01-04-2015,-
0.009322893,214.360001,02-04-2015,+
0.00793057,212.660004,03-04-2015,-
0.006348189,211.309998,04-04-2015,-
0.008991501,209.410004,05-04-2015,-
0.000429765,209.320007,08-04-2015,-
0.000477766,209.220001,09-04-2015,-
0.013287444,212,10-04-2015,+
0.004339613,212.919998,11-04-2015,+
0.007232731,211.380005,12-04-2015,-
0.010029378,209.259995,15-04-2015,-
0.013093783,212,16-04-2015,+
0.010990575,209.669998,17-04-2015,-
0.012018906,207.149994,18-04-2015,-
0.082790222,190,19-04-2015,-
0.011421042,187.830002,22-04-2015,-
0.020124575,191.610001,23-04-2015,+
0.000521925,191.710007,24-04-2015,+
0.011684262,193.949997,25-04-2015,+
0.001856154,194.309998,26-04-2015,+
0.024908631,199.149994,29-04-2015,+
0.01702234,202.539993,30-04-2015,+
0.014367474,199.630005,01-05-2015,-
0.013825547,202.389999,02-05-2015,+
0.010474806,204.509995,03-05-2015,+
0.008459225,202.779999,06-05-2015,-
0.004191764,203.630005,07-05-2015,+
0.005843942,204.820007,08-05-2015,+
0.0077141,203.240005,09-05-2015,-
0.006051938,204.470001,10-05-2015,+
0.009781386,202.470001,13-05-2015,-
0.003654892,203.210007,14-05-2015,+
0.000541312,203.320007,15-05-2015,+
0.006738122,204.690002,16-05-2015,+
0.018320387,208.440002,17-05-2015,+
0.004029917,207.600006,20-05-2015,-
0.005057746,208.649994,21-05-2015,+
0.007955855,206.990005,22-05-2015,-
0.00400986,206.160004,23-05-2015,-
0.002134279,205.720001,24-05-2015,-
0.010013601,207.779999,28-05-2015,+
0.000673785,207.919998,29-05-2015,+
0.006925755,209.360001,30-05-2015,+
0.006400444,208.020004,31-05-2015,-
0.00447069,208.949997,03-06-2015,+
0.013208878,206.190002,04-06-2015,-
0.016732126,202.740005,05-06-2015,-
0.005228361,203.800003,06-06-2015,+
0.012512281,206.350006,07-06-2015,+
0.006445369,205.020004,10-06-2015,-
0.005072715,203.979996,11-06-2015,-
0.013628783,201.199997,12-06-2015,-
0.012773395,203.770004,13-06-2015,+
0.007704799,202.199997,14-06-2015,-
0.004154283,203.039993,17-06-2015,+
0.009013013,204.869995,18-06-2015,+
0.014301719,201.940002,19-06-2015,-
0.022729504,197.350006,20-06-2015,-
0.009576888,195.460007,21-06-2015,-
0.009823053,193.539993,24-06-2015,-
0.007440338,194.979996,25-06-2015,+
0.000615422,194.860001,26-06-2015,-
0.004054157,195.649994,27-06-2015,+
0.023204667,191.110001,28-06-2015,-
0.00088953,191.279999,01-07-2015,+
0.001150152,191.5,02-07-2015,+
0.009138381,193.25,03-07-2015,+
0.008693366,194.929993,05-07-2015,+
0.000256518,194.979996,08-07-2015,+
0.018873695,191.300003,09-07-2015,-
0.004966006,192.25,10-07-2015,+
0.002860874,192.800003,11-07-2015,+
0.003786286,192.070007,12-07-2015,-
0.010048383,194,15-07-2015,+
0.000773165,193.850006,16-07-2015,-
