Percent Change,Close,Date,Shift
0.016578711,26.98,14-06-2014,+
0.013343217,27.34,15-06-2014,+
0.002926116,27.42,18-06-2014,+
0.003282276,27.51,19-06-2014,+
0.004725518,27.639999,20-06-2014,+
0.03364689,26.709999,21-06-2014,-
0.008611082,26.940001,22-06-2014,+
0.03303645,26.049999,25-06-2014,-
0.00153547,26.01,26-06-2014,-
0.008073779,26.219999,27-06-2014,+
0.014874104,25.83,28-06-2014,-
0.031746032,26.65,29-06-2014,+
0.000750469,26.67,02-07-2014,+
0.007124147,26.860001,03-07-2014,+
0.011541399,26.549999,05-07-2014,-
0.014689228,26.16,06-07-2014,-
0.000382263,26.17,09-07-2014,+
0.023309171,25.559999,10-07-2014,-
0.006651017,25.389999,11-07-2014,-
0.025600592,24.74,12-07-2014,-
0.02061439,25.25,13-07-2014,+
0.004752515,25.129999,16-07-2014,-
0.009948269,25.379999,17-07-2014,+
0.032702917,26.209999,18-07-2014,+
0.005723007,26.059999,19-07-2014,-
0.020721375,25.52,20-07-2014,-
0.010188088,25.26,23-07-2014,-
0.00989707,25.01,24-07-2014,-
0.004798041,25.129999,25-07-2014,+
0.014723479,25.5,26-07-2014,+
0.020392157,26.02,27-07-2014,+
0.009992314,25.76,30-07-2014,-
0.002329154,25.700001,31-07-2014,-
0.008949377,25.93,01-08-2014,+
0.000771307,25.91,02-08-2014,-
0.012350444,26.23,03-08-2014,+
0.003049905,26.309999,06-08-2014,+
0.007221627,26.5,07-08-2014,+
0.003773585,26.6,08-08-2014,+
0.003759436,26.700001,09-08-2014,+
0.006741498,26.879999,10-08-2014,+
0.007068378,26.690001,13-08-2014,-
0.007868153,26.48,14-08-2014,-
0.007930514,26.27,15-08-2014,-
0.012181195,26.59,16-08-2014,+
0.009778112,26.33,17-08-2014,-
0.003797949,26.23,20-08-2014,-
0.004574876,26.110001,21-08-2014,-
0.014553849,25.73,22-08-2014,-
0.026816906,25.040001,23-08-2014,-
0.005191733,24.91,24-08-2014,-
0.002810116,24.84,27-08-2014,-
0.006441224,25,28-08-2014,+
0.0132,24.67,29-08-2014,-
0.016214025,24.27,30-08-2014,-
0.023073754,24.83,31-08-2014,+
0.016512284,24.42,04-09-2014,-
0.001228542,24.389999,05-09-2014,-
0.029110333,25.1,06-09-2014,+
0.03625494,24.190001,07-09-2014,-
0.038445678,23.26,10-09-2014,-
0.003439381,23.34,11-09-2014,+
0.006426692,23.190001,12-09-2014,-
